time_days,radial_velocity_ms,uncertainty_ms
1.187353518380425133e+00,3.769301119842808134e+01,2.200000000000000178e+00
8.496063958236350189e+00,3.727294463839550076e+01,2.200000000000000178e+00
2.702939228791820980e+01,8.166142392024834606e+00,2.200000000000000178e+00
2.864533642250026801e+01,3.652496302160848529e+00,2.200000000000000178e+00
3.250401075086897862e+01,7.200487446977650308e-01,2.200000000000000178e+00
3.431538148990481574e+01,-8.945908439166540660e+00,2.200000000000000178e+00
3.431757522557288098e+01,-8.269939402229553593e+00,2.200000000000000178e+00
4.303470421957516834e+01,-1.984816263776627565e+01,2.200000000000000178e+00
4.487753508997077745e+01,-2.002966183334226713e+01,2.200000000000000178e+00
4.833334049184794168e+01,-1.874898599666621379e+01,2.200000000000000178e+00
5.642772966532487544e+01,-2.292017723909239635e+01,2.200000000000000178e+00
5.673690225389152175e+01,-2.243464623209723641e+01,2.200000000000000178e+00
7.150343405671394237e+01,-2.471566343221794781e+01,2.200000000000000178e+00
7.530239237560519427e+01,-1.831997807886812168e+01,2.200000000000000178e+00
7.891388852950593957e+01,-1.855262040086956077e+01,2.200000000000000178e+00
7.925063423229295267e+01,-1.177578668610616930e+01,2.200000000000000178e+00
7.951456150669974932e+01,-1.430800187266443935e+01,2.200000000000000178e+00
8.106721990915984577e+01,-1.340008952359234407e+01,2.200000000000000178e+00
8.456477311874330383e+01,-1.279457203644000884e+01,2.200000000000000178e+00
8.846411391572843286e+01,-7.486999072514384679e+00,2.200000000000000178e+00
9.214377249350205545e+01,-6.278543359128406109e+00,2.200000000000000178e+00
9.332983728218722774e+01,-6.942503767453212404e+00,2.200000000000000178e+00
9.682732356776048732e+01,-5.862233880516547480e+00,2.200000000000000178e+00
1.011027735203738303e+02,7.355049684209564731e-01,2.200000000000000178e+00
1.053462724055473672e+02,3.039520716960092628e+00,2.200000000000000178e+00
1.083410826796159228e+02,6.355499193253512757e+00,2.200000000000000178e+00
1.086838575573031846e+02,6.392418284279259844e+00,2.200000000000000178e+00
1.187089724286178978e+02,1.455595715255039124e+01,2.200000000000000178e+00
1.222650023872192264e+02,2.272048596806203946e+01,2.200000000000000178e+00
1.302590849076683526e+02,2.504289160785263135e+01,2.200000000000000178e+00
1.360359218963119758e+02,3.401296102390444531e+01,2.200000000000000178e+00
1.469534810503021447e+02,3.543074118073220546e+01,2.200000000000000178e+00
1.698785916256645976e+02,1.383252051796008253e+01,2.200000000000000178e+00
1.714013565835134045e+02,8.772484065575838486e+00,2.200000000000000178e+00
1.750963370659031284e+02,6.478119653890321850e+00,2.200000000000000178e+00
1.759829601648166317e+02,2.380407529451355586e+00,2.200000000000000178e+00
1.833452552215907474e+02,-8.507833465772804971e+00,2.200000000000000178e+00
1.885646202607500186e+02,-1.612373014753811873e+01,2.200000000000000178e+00
1.905187711783761131e+02,-1.769519293841920771e+01,2.200000000000000178e+00
1.922447582319109358e+02,-1.478030574055548385e+01,2.200000000000000178e+00
1.966215681964382611e+02,-1.884583338039766076e+01,2.200000000000000178e+00
1.999187934712598747e+02,-2.354873638544355785e+01,2.200000000000000178e+00
2.100520160205419415e+02,-2.117474728427404074e+01,2.200000000000000178e+00
2.251572147346858799e+02,-1.847350806984625393e+01,2.200000000000000178e+00
2.274157879218935818e+02,-1.429146314160294651e+01,2.200000000000000178e+00
2.344714435572448679e+02,-9.562247767991207681e+00,2.200000000000000178e+00
2.520463199224324171e+02,2.488195818928875536e+00,2.200000000000000178e+00
2.521196107781625244e+02,-1.282399039895893100e+00,2.200000000000000178e+00
2.547081264144960073e+02,5.104051969055659832e+00,2.200000000000000178e+00
2.589202652148877632e+02,1.117645230855336180e+01,2.200000000000000178e+00
2.726809550028796707e+02,2.195363068903715842e+01,2.200000000000000178e+00
2.778864778165491316e+02,2.954245726111671289e+01,2.200000000000000178e+00
2.815872119645695761e+02,3.197451437191702439e+01,2.200000000000000178e+00
2.816143991028900473e+02,2.922278251545378680e+01,2.200000000000000178e+00
2.884392478923313092e+02,3.842048453014281506e+01,2.200000000000000178e+00
2.887121896798599892e+02,3.955463959710969846e+01,2.200000000000000178e+00
2.905447710111565129e+02,3.843528194594237846e+01,2.200000000000000178e+00
2.918456367490724688e+02,4.011580246315286757e+01,2.200000000000000178e+00
2.921407203548014877e+02,4.055802774251909426e+01,2.200000000000000178e+00
2.988106255254073176e+02,4.266695082776572434e+01,2.200000000000000178e+00
3.061259803817068814e+02,3.284516058954036311e+01,2.200000000000000178e+00
3.121649896412882867e+02,2.453304097997090238e+01,2.200000000000000178e+00
3.206289087876926374e+02,1.022701263716573372e+01,2.200000000000000178e+00
3.207225376478219800e+02,5.644022624952539147e+00,2.200000000000000178e+00
3.271128386492703157e+02,-6.459314520250571512e+00,2.200000000000000178e+00
3.277607765431039866e+02,-4.981758230794698150e+00,2.200000000000000178e+00
3.285086486457321371e+02,-5.096504332273721793e+00,2.200000000000000178e+00
3.330474322957711024e+02,-1.037483713357108961e+01,2.200000000000000178e+00
3.363267604654037655e+02,-1.879000715853111458e+01,2.200000000000000178e+00
3.439004338286842426e+02,-2.555942397116700704e+01,2.200000000000000178e+00
3.604148054152417444e+02,-2.369605560775159248e+01,2.200000000000000178e+00
3.659081489286238593e+02,-2.086667666720295600e+01,2.200000000000000178e+00
3.660534551206244487e+02,-2.035309491559351613e+01,2.200000000000000178e+00
3.692049255208920613e+02,-1.738498355197088330e+01,2.200000000000000178e+00
3.697049999678589529e+02,-1.714550045275313295e+01,2.200000000000000178e+00
3.745294770567119826e+02,-1.592702139772673320e+01,2.200000000000000178e+00
3.764499369559657680e+02,-1.347954664187495410e+01,2.200000000000000178e+00
3.772260229536452130e+02,-1.632710295119623112e+01,2.200000000000000178e+00
3.805552254628219657e+02,-1.448384893388372241e+01,2.200000000000000178e+00
3.841003266473487088e+02,-8.715926745714888568e+00,2.200000000000000178e+00
3.858388490119763219e+02,-6.270981168746834200e+00,2.200000000000000178e+00
3.875805676863756162e+02,-4.966639928620709910e+00,2.200000000000000178e+00
3.895570143663770182e+02,-4.816855787380828424e+00,2.200000000000000178e+00
3.934123724702361642e+02,-5.457618035503057907e-01,2.200000000000000178e+00
3.957923827679256874e+02,1.052734788851855452e+00,2.200000000000000178e+00
3.961090041389791168e+02,-5.470133395534858778e+00,2.200000000000000178e+00
3.971522861454145072e+02,-1.805800725176960331e+00,2.200000000000000178e+00
3.975798554078306211e+02,3.835543265484597342e+00,2.200000000000000178e+00
3.976362360009583199e+02,1.953545118491946564e+00,2.200000000000000178e+00
3.977266459854184859e+02,-3.391217684071906824e+00,2.200000000000000178e+00
3.986917708859274967e+02,4.555081532175471182e+00,2.200000000000000178e+00
4.041363601603151778e+02,7.589022533079672783e+00,2.200000000000000178e+00
